Activity Master: Activity Master Number,Zone,Activity Code,Activity Name,Activity Name (Arabic),Status,Minimum Share Capital,License Type,License Type (Arabic),Is Not Allowed for Coworking(ESR),RAKEZ HSE Risk Classification,Compliance Risk Rating,Is Special,Activity Price,Activity Group,Activity Group (Arabic),Segment Name English,Segment Name Arabic,Description,Description (Arabic),Qualification Requirement,Documents Required
AM-06150,Non-Freezone,4771110,Retai sale of Non-Valuable Jewellery and Accessories,بيع الحلي والاكسسوارات الغير ثمينة - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-05548,Non-Freezone,4761004,Retai sale of office equipment - retail,بيع التجهيزات المكتبية - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-04878,Non-Freezone,4773934,Retai sale of Office Equipments and Machinery,بيع المعدات و الآلات المكتبية - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
AM-05796,Non-Freezone,4773920,Retai sale of Office Furniture,بيع الاثاث المكتبي - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-01135,Non-Freezone,4761006,Retai sale of Office Tools,بيع الأدوات المكتبية وأدوات الكتابة والرسم-بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-05937,Non-Freezone,4772011,Retai sale of Of-Special-Needs Equipment and Outfit,بيع أدوات ذوي الاحتياجات الخاصة ولوازمهم - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-02963,Non-Freezone,4773704,Retai sale of Oil and Natural Gas Wells Equipments and Devices and Spare Parts,بيع معدات واجهزة آبار النفط والغاز الطبيعي وقطع غيارها - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-02598,Non-Freezone,4773405,Retai sale of Old Stamps and Coins and the Like,بيع الطوابع والعملات القديمة وما شابهها - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-05053,Non-Freezone,4721024,Retai sale of Olive and Pickles,بيع الزيتون والمخللات - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-05112,Non-Freezone,4721034,Retai sale of organic food,بيع المواد الغذائية العضوية - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-05934,Non-Freezone,4772006,Retai sale of Orthopaedic Apparatuse,بيع أجهزة تقويم الاعضاء - بالتجزئة,Inactive,,Commercial,تجارية,ESR,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,"Business Plan to be Reviewed and Approved by Sales Director. Ministry of Health & Prevention. For Warehouse & Land: Department of Civil Defense, General Resources Authority-CCTV. Guidelines on how to obtain the required NOC from MOHAP to conduct such business: 1. Facility must be dedicated Office/Warehouse/Land 2. International & local Marketing Authorization holders are allowed to operate within the UAE and register themselves as scientific offices with MOHAP. 3. All scientific offices are allowed to apply for registration, manage all their post marketing surveillance in the country, appoint local agents & issue invoices with the required authorization from the principal company. 4. A principal company/ Marketing Authorization Holder is recognized by MOHAP through the registration of their products. The registration certificate of any medical product/drug marketed within the UAE specifies the Marketing Authorization Holder, the Manufacturer & the local agent. 5. Scientific Offices are also eligible to request for a logistic storage hub, i.e. apply for a Good Storage Practice (GSP) certificate for logistic stores . 6. if the applicants for medical trading activity do represent the MAH (marketing authorization holder) of related medical product as distributors with relevant official agreements, GSP certificate from MOHAP can be issued after inspection and fulfilling the requirements accurately. Accordingly, they can practice such activities, otherwise, they are not eligible."
AM-04880,Non-Freezone,4773936,Retai sale of Packaging and Wrapping Equipments,بيع معدات التعبئة و التغليف - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
AM-05354,Non-Freezone,4773964,Retai sale of Packaging and Wrapping Material,بيع مواد التغليف والتعبئة - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
AM-02859,Non-Freezone,4773604,Retai sale of Painting Equipments and Machinery,بيع معدات وآلات الطلاء - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-05449,Non-Freezone,4752035,Retai sale of Paints,بيع الطلاء والدهانات - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-05051,Non-Freezone,4721022,Retai sale of Palms,بيع التمور - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-05353,Non-Freezone,4773963,Retai sale of Paper Products,بيع المنتجات الورقية - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
AM-04943,Non-Freezone,4773939,Retai sale of Parks Equipments,بيع معدات الحدائق - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
AM-06687,Non-Freezone,4772007,Retai sale of Perfume,بيع العطور - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial1,,,,,,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-05418,Non-Freezone,4774009,Retai sale of Personal Used Clothes and Outfit,بيع الملابس و المستلزمات الشخصية المستعملة - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
AM-01432,Non-Freezone,4773313,Retai sale of pets,بيع الحيوانات الأليفة - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,For Warehouse & Land: Ministry of Climate Change and Environment
AM-02174,Non-Freezone,4773102,Retai sale of Photographic and Optic Apparatuses,بيع الأجهزة الفوتوغرافية و البصرية - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-02173,Non-Freezone,4773101,Retai sale of Photographing Devices and Outfit,بيع آلات وأدوات التصوير ولوازمها - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-02176,Non-Freezone,4773104,Retai sale of Photography Films and Material,بيع افلام ومواد التصوير الفوتوغرافي - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-05364,Non-Freezone,4752020,Retai sale of Pipes and Tubes,بيع الانابيب و المواسير - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-05378,Non-Freezone,4752027,Retai sale of Plastic Products,بيع منتجات بلاستيكية - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-05092,Non-Freezone,4752008,Retai sale of Polishing Material,بيع مواد التلميع - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-05519,Non-Freezone,4752045,Retai sale of Prefabricated Houses and Parts,تجارة الأبنية الجاهزة وأجزائها - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-02604,Non-Freezone,4773505,Retai sale of Preservation and Cooling Equipments and Devices,بيع معدات واجهزة الحفظ والتبريد - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-02868,Non-Freezone,4773613,Retai sale of Printers Equipments and Outfits,بيع معدات المطابع و لوازمها - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-01145,Non-Freezone,4774014,Retai sale of printing equipment and supplies dealers,تجارة معدات ولوازم المطابع المستعملة - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-06148,Non-Freezone,4771108,Retai sale of Professional Clothes,بيع الملابس المهنية - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-02130,Non-Freezone,4773907,Retai sale of Professional Safety and Health Equipments and Requirements,بيع لوازم السلامة والصحة المهنية وأدواتها - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-06171,Non-Freezone,4771905,Retai sale of Professional Shoes,بيع الاحذية المهنية - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-04837,Non-Freezone,4791003,Retai sale of Publications and Media Material E-trafficking,المتاجرة الالكترونية بالمطبوعات و المواد الاعلامية - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,Media Regulatory Office / Ministry of Culture & Youth
AM-02128,Non-Freezone,4773905,Retai sale of Public Call Equipment,بيع النداء العام - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-02602,Non-Freezone,4773503,"Retai sale of Pumps, Motors and Valves and Outfits",بيع المضخات والمحركات والصمامات ولوازمها - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-05351,Non-Freezone,4773960,Retai sale of Qaraqir,بيع القراقير - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
AM-05382,Non-Freezone,4742002,"Retai sale of Radio, Television, Cinema",بيع معدات واجهزة الاذاعة والتلفزيون - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 4,تجاريــــــــة 4,,,,,,Media Regulatory Office / Ministry of Culture & Youth
AM-05437,Non-Freezone,4752029,Retai sale of Ready-Made Concrete,بيع الخرسانة الجاهزة - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-04984,Non-Freezone,4721005,Retai sale of Refrigerated Meat,بيع اللحوم المبردة - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-05111,Non-Freezone,4721033,Retai sale of Retai sale of Frozen Foodstuff,بيع المواد الغذائية المجمدة - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-05060,Non-Freezone,4721031,Retai sale of Rice,بيع الأرز - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-02382,Non-Freezone,4773312,Retai sale of saddles and supplies tame animals and birds - Stores,بيع السروج ولوازم ترويض الحيوانات والطيور - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-05793,Non-Freezone,4773917,Retai sale of Safety and Fire Fighting Equipment and Devices Spare Parts,بيع قطع غيار معدات واجهزة السلامة واطفاء الحريق - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,Department of Civil Defense
AM-05928,Non-Freezone,4771908,Retai sale of Sandals And Slippers,بيع النعال والصنادل - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-03177,Non-Freezone,4752004,Retai sale of Sanitary Ware and Fittings,بيع الأدوات الصحية وتمديداتها - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-05435,Non-Freezone,4752028,Retai sale of Scaffold,بيع السقالات - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-05797,Non-Freezone,4773921,"Retai sale of Schools, Hospitals and Laboratories Furniture",بيع اثاث المدارس و المستشفيات والمختبرات - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-05795,Non-Freezone,4773919,Retai sale of Scientific and Practical Equipment and Devices,بيع المعدات والأجهزة العلمية والمعملية - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-05806,Non-Freezone,4773930,Retai sale of Sea Cleaning Equipments,بيع معدات تنظيف البحار - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
AM-04995,Non-Freezone,4721012,Retai sale of Selling,بيع البن - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-02861,Non-Freezone,4773606,Retai sale of Sewing and Weaving Equipments and Spare Parts,بيع معدات الغزل والنسج وقطع غيارها - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-03172,Non-Freezone,4751003,Retai sale of Sewing Equipment,بيع لوازم الخياطة - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-02862,Non-Freezone,4773607,Retai sale of Sewing Machines and Spare Parts,بيع ماكينات الخياطة وقطع غيارها - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-05056,Non-Freezone,4721027,Retai sale of Sheep,بيع الأغنام - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,For Warehouse & Land: Ministry of Climate Change and Environment
AM-05517,Non-Freezone,4752044,Retai sale of Shipments Containers,بيع حاويات الشحن - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-02181,Non-Freezone,4773203,Retai sale of Silver Jewellery and Accessories Trading,بيع الحلي والاكسسوارات من الفضة - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,Signed: Designated Non-Financial Business or Profession (DNFBP)
AM-06320,Non-Freezone,4759005,Retai sale of Silverware and Table Ware,بيع الفضيات و ادوات المائدة - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-04993,Non-Freezone,4721010,Retai sale of Slaughtered Fresh Poultry,بيع الدواجن المذبوحة الطازجة - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-05118,Non-Freezone,4723002,Retai sale of Smoking Equipment,بيع أدوات ولوازم التدخين - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 4,تجاريــــــــة 4,,,,,,
AM-05114,Non-Freezone,4722001,Retai sale of Soft Beverages,تجارة المرطبات والمياه الغازية - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-05794,Non-Freezone,4773918,Retai sale of Solar Power Equipment and Outfit,بيع معدات الطاقة البديلة ولوازمها - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-05938,Non-Freezone,4772012,Retai sale of Soup and Hair Care Composition,بيع الصابون ومستحضرات العناية بالشعر - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-02609,Non-Freezone,4773510,Retai sale of Spare Parts Electrical and Electronic Devices,بيع قطع غيار الاجهزة الكهربائية والالكترونية - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-02177,Non-Freezone,4773105,Retai sale of Specialized Photography Equipment Tools and Outfits,بيع مواد و لوازم معدات التصوير التخصصي - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-05059,Non-Freezone,4721030,Retai sale of Spice and Pepper,بيع التوابل و البهارات - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-05655,Non-Freezone,4763010,Retai sale of Sport Fields and Gyms Equipments and Outfits,بيع معدات الملاعب و الصالات الرياضية وتجهيزاتها - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-06147,Non-Freezone,4771107,Retai sale of Sports Clothes,بيع الملابس الرياضية - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-04862,Non-Freezone,4791009,Retai sale of Sports Competitive Tickets E-trafficking,المتاجرة الالكترونية بتذاكر المنافسات الرياضية - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
AM-01433,Non-Freezone,4771909,Retai sale of sports shoes,بيع الاحذية الرياضية - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-05562,Non-Freezone,4763003,Retai sale of Sports Tools,بيع الادوات الرياضية - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-05352,Non-Freezone,4773961,Retai sale of stamps and accessories - retail,بيع الأختام ومستلزماتها - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
AM-05546,Non-Freezone,4761003,Retai sale of Stationery,بيع ادوات القرطاسية - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,Media Regulatory Office / Ministry of Culture & Youth
AM-01392,Non-Freezone,4721038,Retai sale of Sugar,بيع السكر - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-05044,Non-Freezone,4721015,Retai sale of Sweets,بيع الحلويات - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-06244,Non-Freezone,4752046,Retai sale of Swimming Pools,بيع أحواض السباحة - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-05036,Non-Freezone,4752005,Retai sale of Tanks and Reservoirs,بيع الخزانات و الصهاريج - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-05940,Non-Freezone,4772014,Retai sale of Teeth Cleansers Trade,بيع منظفات الاسنان - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-05939,Non-Freezone,4772013,Retai sale of Teeth Treatment Material,بيع مواد معالجة الاسنان - بالتجزئة,Inactive,,Commercial,تجارية,ESR,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,"Business Plan to be Reviewed and Approved by Sales Director. Ministry of Health & Prevention. For Warehouse & Land: Department of Civil Defense, General Resources Authority-CCTV. Guidelines on how to obtain the required NOC from MOHAP to conduct such business: 1. Facility must be dedicated Office/Warehouse/Land 2. International & local Marketing Authorization holders are allowed to operate within the UAE and register themselves as scientific offices with MOHAP. 3. All scientific offices are allowed to apply for registration, manage all their post marketing surveillance in the country, appoint local agents & issue invoices with the required authorization from the principal company. 4. A principal company/ Marketing Authorization Holder is recognized by MOHAP through the registration of their products. The registration certificate of any medical product/drug marketed within the UAE specifies the Marketing Authorization Holder, the Manufacturer & the local agent. 5. Scientific Offices are also eligible to request for a logistic storage hub, i.e. apply for a Good Storage Practice (GSP) certificate for logistic stores . 6. if the applicants for medical trading activity do represent the MAH (marketing authorization holder) of related medical product as distributors with relevant official agreements, GSP certificate from MOHAP can be issued after inspection and fulfilling the requirements accurately. Accordingly, they can practice such activities, otherwise, they are not eligible."
AM-04953,Non-Freezone,4773949,Retai sale of Testing and Commissioning Equipments and Apparatuses,بيع معدات وأجهزة الفحص والإختبار - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
AM-03170,Non-Freezone,4751001,Retai sale of textiles and fabrics - retail,بيع المنسوجات والأقمشة - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-05098,Non-Freezone,4752011,Retai sale of Tiles and Grounds,بيع البلاط - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-05514,Non-Freezone,4752042,Retai sale of Traffic and Guiding Boards and Outfits,بيع اللوحات والمستلزمات المرورية والإرشادية - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-02120,Non-Freezone,4773709,Retai sale of Trains Spare Parts and its Components,بيع قطع غيار القطارات ومكوناتها - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-04861,Non-Freezone,4791008,Retai sale of Travel and Entertainment Services E-trafficking,المتاجرة الالكترونية بخدمات السفر و الترفيه - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
AM-05933,Non-Freezone,4772005,Retai sale of Treatment and Surgical Medical Instruments and Compositions,بيع الأدوات والمستلزمات الطبية العلاجية والجراحية - بالتجزئة,Inactive,,Commercial,تجارية,ESR,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,"Business Plan to be Reviewed and Approved by Sales Director. Ministry of Health & Prevention. For Warehouse & Land: Department of Civil Defense, General Resources Authority-CCTV. Guidelines on how to obtain the required NOC from MOHAP to conduct such business: 1. Facility must be dedicated Office/Warehouse/Land 2. International & local Marketing Authorization holders are allowed to operate within the UAE and register themselves as scientific offices with MOHAP. 3. All scientific offices are allowed to apply for registration, manage all their post marketing surveillance in the country, appoint local agents & issue invoices with the required authorization from the principal company. 4. A principal company/ Marketing Authorization Holder is recognized by MOHAP through the registration of their products. The registration certificate of any medical product/drug marketed within the UAE specifies the Marketing Authorization Holder, the Manufacturer & the local agent. 5. Scientific Offices are also eligible to request for a logistic storage hub, i.e. apply for a Good Storage Practice (GSP) certificate for logistic stores . 6. if the applicants for medical trading activity do represent the MAH (marketing authorization holder) of related medical product as distributors with relevant official agreements, GSP certificate from MOHAP can be issued after inspection and fulfilling the requirements accurately. Accordingly, they can practice such activities, otherwise, they are not eligible."
AM-05653,Non-Freezone,4763009,Retai sale of Trips Requirements and Equipments,بيع لوازم وادوات الرحلات - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-05322,Non-Freezone,4741002,Retai sale of Typewriter and Photocopier Machines and Outfits,بيع الآلات الكاتبة والناسخة ولوازمها - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 4,تجاريــــــــة 4,,,,,,
AM-06144,Non-Freezone,4771104,Retai sale of Underwear,بيع الملابس الداخلية - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-06383,Non-Freezone,4759008,Retai sale of Unit Air-conditioner,بيع اجهزة التبريد التكييف - وحدات - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-05358,Non-Freezone,4774004,Retai sale of Used Computers,بيع اجهزة الحاسب الآلي المستعملة - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
AM-05357,Non-Freezone,4774003,Retai sale of Used Electrical and Electronic Apparatuses and Tools,بيع الاجهزة و الأدوات الكهربائية و الالكترونية المستعملة - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
AM-05355,Non-Freezone,4774001,Retai sale of Used Furniture,بيع الأثاث المستعمل - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
AM-05356,Non-Freezone,4774002,"Retai sale of Used Jewellery, Formations and Precious Stones",بيع المصوغات والمجوهرات والاحجار الكريمة المستعملة - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,"Directorate General of RAK Police,Signed: Designated Non-Financial Business or Profession (DNFBP)"
AM-05417,Non-Freezone,4774008,Retai sale of Used Spare Parts of Equipment and Machinery,بيع قطع الغيار المستعملة للمعدات والآليات - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
AM-04839,Non-Freezone,4791005,Retai sale of Vehicles and Transportations E-trafficking,المتاجرة الالكترونية بالمركبات و وسائل النقل - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
AM-05802,Non-Freezone,4773926,Retai sale of Vending Machines,بيع معدات البيع الآلي - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-04945,Non-Freezone,4773941,Retai sale of Veterinary Apparatuses and Outfits,بيع اجهزة البيطرة وادواتها - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
AM-06312,Non-Freezone,4753006,Retai sale of Wallpaper,بيع ورق الجدران - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-05798,Non-Freezone,4773922,Retai sale of Water and Electricity Meters,بيع عدادت المياه والكهرباء - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-05645,Non-Freezone,4763005,Retai sale of Water Bikes Jetskies,بيع الدراجات المائية - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-05651,Non-Freezone,4763008,Retai sale of Water Bikes Spare Parts,تجارة قطع غيار الدراجات المائية - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-02867,Non-Freezone,4773612,Retai sale of Water Cooling and Heating Equipments and Machinery,بيع معدات وآلات تبريد و تسخين المياه - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
